OBJECTID,Join_Count,TARGET_FID,stop_id,stop_name,stop_lat,stop_lon,suburb
1064,1,1063,3500,Cashmere Hospital - Helston Road,-41.22015863,174.8119147,Paparangi
1069,1,1068,6012,Kent Terrace at Pirie Street,-41.29689239,174.7824499,Mount Victoria
1071,1,1070,6718,Ohiro Road at Bretby Crescent,-41.30405724,174.7636735,Brooklyn
1072,1,1071,3474,Stewart Drive at Pritchard Street,-41.2223829,174.8193726,Newlands
1074,1,1073,6219,Kilbirnie School - Moxham Avenue,-41.30879333,174.7925706,Hataitai
1079,1,1078,3299,Melksham Drive opposite Mauldeth Terrace,-41.199301,174.807589,Churton Park
1081,1,1080,7955,Orchy Crescent at Buckley Road,-41.342946,174.779383,Southgate
1086,1,1085,7784,Aro Street at Devon Street,-41.29532122,174.7669365,Aro Valley
1088,1,1087,6336,Sutherland Road at Queens Drive,-41.33272135,174.7906534,Lyall Bay
1089,1,1088,6786,Aro Street at Holloway Road,-41.29367,174.761176,Aro Valley
1090,1,1089,3969,Middleton Road (opposite 375),-41.19894402,174.8206312,Glenside
1095,1,1094,WELL6,Wellington Station,-41.27849,174.78091,Pipitea
1097,1,1096,7133,The Parade (near 206),-41.33684747,174.7727667,Island Bay
1101,1,1100,3916,Tawa Mall - Main Road (near 215),-41.16861933,174.8250306,Tawa
1102,1,1101,6749,Short Street at Liardet Street,-41.31295427,174.7700424,Vogeltown
1103,1,1102,4350,Montgomery Avenue opposite Caldwell Street,-41.27936129,174.7282986,Karori
1105,1,1104,4363,Woodhouse Avenue at Parklands Drive,-41.29202019,174.72505,Karori
1107,1,1106,3258,Hutt Road opposite Rangiora Avenue,-41.25589184,174.7963112,Kaiwharawhara
1111,1,1110,5450,Ottawa Road (near 57),-41.24812765,174.7745487,Ngaio
1112,1,1111,7534,Waipapa Road (near 96),-41.30343891,174.7970186,Hataitai
1113,1,1112,4423,Cashmere Avenue School,-41.24740256,174.7977495,Khandallah
1114,1,1113,5932,Mairangi Road opposite Denbigh Way,-41.26772722,174.7648804,Wilton
1117,1,1116,6728,The Ridgeway at Farnham Street,-41.31827163,174.7639737,Mornington
1122,1,1121,3040,Johnsonville West - McClintock Street (near 87),-41.22195,174.7921,Johnsonville
1124,1,1123,4425,Mandalay Terrace (near 24),-41.24750614,174.8026454,Khandallah
1127,1,1126,7521,Roseneath Shops (opposite),-41.28777542,174.8022012,Roseneath
1128,1,1127,3242,Chorley Grove (near 5),-41.21266887,174.807056,Churton Park
1129,1,1128,4369,Karori South - Hazlewood Avenue (near 100),-41.29873119,174.7220021,Karori
1131,1,1130,3230,Waverton Terrace (near 30),-41.20310994,174.8020225,Churton Park
1136,1,1135,7527,Grafton Road (near 114),-41.29455594,174.8005965,Roseneath
1141,1,1140,4381,Birdwood Street at Braithwaite Street,-41.28379968,174.7506154,Karori
1146,1,1145,7240,Darlington Road (near 104),-41.30738983,174.8257139,Miramar
1153,1,1152,5921,Northland Tunnel (opposite Putnam Street),-41.28508277,174.7549592,Northland
1159,1,1158,6125,Adelaide Road (near 493),-41.32141,174.77528,Berhampore
1161,1,1160,7787,Raroa Road opposite Mt Pleasant Road,-41.294012,174.758032,Aro Valley
1165,1,1164,7224,Kilbirnie - Stop B,-41.31760422,174.7959375,Kilbirnie
1166,1,1165,6533,Waipapa Road at Kainui Road,-41.3025162,174.7984266,Hataitai
1168,1,1167,6529,Hataitai Road at Arawa Road,-41.29761146,174.8010388,Hataitai
1169,1,1168,5123,Wadestown Road at Pitt Street,-41.26171345,174.775223,Wadestown
1171,1,1170,6050,Breaker Bay Road at Reef Bay,-41.33975864,174.8243096,Breaker Bay
1172,1,1171,3837,Raroa Intermediate - Haumia Street (school stop),-41.229616,174.801133,Johnsonville
1173,1,1172,5119,Lennel Road at Lower Watt Street,-41.264519,174.7801934,Wadestown
1174,1,1173,6949,Buckley Road (near 45),-41.332919,174.7837278,Southgate
1175,1,1174,6100,Robertson Street (near 17),-41.34389083,174.761438,Owhiro Bay
1178,1,1177,4415,Calcutta Street (near 39),-41.25122,174.788186,Khandallah
1182,1,1181,3038,McLintock Street at Meadowcroft Grove,-41.22530621,174.7938035,Johnsonville
1184,1,1183,3968,Middleton Road (opposite 395),-41.19636483,174.8233249,Glenside
1185,1,1184,6232,Hobart Street at Wexford Road,-41.3195,174.81423,Miramar
1186,1,1185,7953,Buckley Road at Melrose Road,-41.34026166,174.7807014,Southgate
1187,1,1186,7565,Palliser Road at Charles Plimmer Park (near 79),-41.29490876,174.795678,Mount Victoria
1189,1,1188,4351,Montgomery Avenue opposite Skyline Reserve,-41.27874895,174.7270884,Karori
1192,1,1191,3976,Middleton Road at Churton Drive (near 122),-41.21395193,174.8113855,Churton Park
1193,1,1192,7557,Hataitai - Stop C,-41.30381065,174.7944115,Hataitai
1194,1,1193,6081,Miramar Shops - Stop B,-41.31585051,174.8153993,Miramar
1195,1,1194,4393,Beauchamp Street at Verviers Street,-41.29026673,174.7398122,Karori
1197,1,1196,5116,Grant Road opposite Newman Terrace,-41.26895837,174.7785233,Thorndon
1199,1,1198,7245,Miramar North Road (near 103),-41.30412503,174.8221213,Miramar
1200,1,1199,6785,Aro Street at Durham Street,-41.29503899,174.7635863,Aro Valley
1201,1,1200,6719,Ohiro Road at Cleveland Street,-41.30504018,174.763378,Brooklyn
1202,1,1201,6131,The Parade (near 103),-41.333008,174.773617,Island Bay
1203,1,1202,7942,Mount Albert Road at Lavaud Street,-41.32394246,174.7801768,Berhampore
